,name,year,artists
76917,Kapitel 118 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76807,Часть 4.3 & Часть 5.1 - Фиеста,1926,['Эрнест Хемингуэй']
76945,Часть 17.3 - Фиеста,1926,['Эрнест Хемингуэй']
76944,Часть 19.2 - Фиеста,1926,['Эрнест Хемингуэй']
76943,Kapitel 251 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76940,Kapitel 22 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76939,Kapitel 188 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76937,Kapitel 342 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76932,Kapitel 403 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76931,Kapitel 72 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76930,Kapitel 423 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76925,Часть 31.3 - Фиеста,1926,['Эрнест Хемингуэй']
76922,Llora Hermano - Instrumental (Remasterizado),1926,['Francisco Canaro']
76919,Часть 49.2 - Фиеста,1926,['Эрнест Хемингуэй']
76947,Kapitel 298 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76918,"Down Here Lord, Waiting On You",1926,['Reverend J.M. Gates']
76913,Часть 65.2 - Фиеста,1926,['Эрнест Хемингуэй']
76912,Часть 55.3 - Фиеста,1926,['Эрнест Хемингуэй']
76909,Kapitel 56 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76908,Kapitel 210 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76907,Kapitel 163 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76906,Kapitel 274 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
